,zona,area_quartos,enderecos_lista,aluguel
2,centro,51 m² construídos2 quartos,"Rua Leandro Martins, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.285
3,centro,40 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
4,centro,50 m² construídos1 quarto,"Rua De Santana, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.460
5,centro,42 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.720
6,centro,70 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
7,centro,70 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
8,centro,44 m² construídos1 quarto,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.610
9,centro,28 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.800
10,centro,53 m² construídos2 quartos,"Rua Tenente Possolo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.500
11,centro,18 m² construídos1 quarto,"Rua Taylor, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.100
12,centro,48 m² construídos1 quarto,"Rua Do Senado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.090
13,centro,28 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.460
14,centro,31 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
15,centro,47 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.250
16,centro,32 m² construídos1 quarto,"Avenida Mem De Sá, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.040
17,centro,48 m² construídos1 quarto,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.100
18,centro,32 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
19,centro,47 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.200
20,centro,32 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",640
21,centro,61 m² construídos1 quarto,"Rua Senador Dantas, Centro, Rio De Janeiro Centro, Rio De Janeiro",870
22,centro,25 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",500
23,centro,25 m² construídos1 quarto,"Rua Dos Inválidos, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
24,centro,24 m² construídos1 quarto,"Rua Lapa, Centro, Rio De Janeiro Centro, Rio De Janeiro",700
25,centro,30 m² construídos1 quarto,"Rua Dos Andradas, Centro, Rio De Janeiro Centro, Rio De Janeiro",550
26,centro,115 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
27,centro,160 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
28,centro,147 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.000
29,centro,142 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
30,centro,250 m² construídos,"Avenida Presidente Vargas 633, 633, Centro, Rio De Janeiro Centro, Rio De Janeiro",30.000
31,centro,135 m² construídos,"Avenida Rio Branco, 26, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.600
32,centro,446 m² construídos,"Rua São José , 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
33,centro,321 m² construídos,"Avenida Rio Branco, 108, Centro, Rio De Janeiro Centro, Rio De Janeiro",7.500
34,centro,320 m² construídos,"Rua Da Quitanda 20, 20, Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
35,centro,130 m² construídos,"Rua Da Assembléia, 10, Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
36,centro,160 m² construídos,"Rua Da Assembléia, 10, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
37,centro,140 m² construídos,"Rua Buenos Aires, 57, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
38,centro,680 m² construídos,"Rua Do Carmo, 71, Centro, Rio De Janeiro Centro, Rio De Janeiro",15.500
39,centro,169 m² construídos,"Rua São José, 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",4.950
40,centro,111 m² construídos,"Rua São José, 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.250
41,centro,132 m² construídos,"Rua São José, 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.848
42,centro,34 m² construídos,"Da Quitanda 68, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
43,centro,31 m² construídos,"Da Assembléia 93, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
44,centro,551 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
45,centro,575 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",24.000
46,centro,350 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",7.000
47,centro,55 m² construídos,"Avenida Rio Branco, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.200
0,centro,75 m² construídos3 quartos,"Rua Afonso Cavalcanti, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",2.000
1,centro,35 m² construídos,"Avenida Nossa Senhora De Fatima, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
2,centro,42 m² construídos2 quartos,"Rua Marquês Pombal, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
3,centro,90 m² construídos2 quartos,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.450
4,centro,35 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.780
5,centro,50 m² construídos1 quarto,"R. Do Senado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.208
6,centro,53 m² construídos1 quarto,"Rua Tenente Possolo, 1, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
7,centro,35 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",680
8,centro,30 m² construídos1 quarto,"Rua Carlos Sampaio, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
9,centro,35 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
10,centro,60 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
11,centro,35 m² construídos,"Praça Olavo Bilac, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
12,centro,600 m² construídos,"Santo Cristo, Rio De Janeiro Centro, Rio De Janeiro",35.000
13,centro,527 m² construídos,"Rua  Lavradio, Centro, Rio De Janeiro Centro, Rio De Janeiro",19.500
14,centro,36 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
15,centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.250
16,centro,217 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
17,centro,32 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
18,centro,100 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.900
19,centro,468 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
