zona,enderecos_lista,latitude,longitude,area,quartos,aluguel
centro,"Rua Do Resende, Centro, Rio de Janeiro, RJ",-22.91322,-43.18609,44.0,1.0,2610
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,28.0,1.0,1800
centro,"Rua Tenente Possolo, Centro, Rio de Janeiro, RJ",-22.91233,-43.1904,53.0,2.0,1500
centro,"Rua Taylor, Centro, Rio de Janeiro, RJ",-22.91652,-43.17738,18.0,1.0,1100
centro,"Rua Do Senado, Centro, Rio de Janeiro, RJ",-22.91004,-43.18724,48.0,1.0,1090
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,28.0,1.0,1460
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,31.0,1.0,1000
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,47.0,1.0,1250
centro,"Avenida Mem De Sá, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,32.0,1.0,1040
centro,"Rua Do Resende, Centro, Rio de Janeiro, RJ",-22.91322,-43.18609,48.0,1.0,2100
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,32.0,1.0,900
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,47.0,1.0,1200
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,32.0,1.0,640
centro,"Rua Senador Dantas, Centro, Rio de Janeiro, RJ",-22.91041,-43.17737,61.0,1.0,870
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,25.0,1.0,500
centro,"Rua Dos Inválidos, Centro, Rio de Janeiro, RJ",-22.91172,-43.18485,25.0,1.0,600
centro,"Rua Lapa, Centro, Rio de Janeiro, RJ",-22.91611,-43.17754,24.0,1.0,700
centro,"Rua Dos Andradas, Centro, Rio de Janeiro, RJ",-22.90262,-43.18204,30.0,1.0,550
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,115.0,,2000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,160.0,,2000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,147.0,,12000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,142.0,,2000
centro,"Avenida Presidente Vargas 633, 633, Centro, Rio de Janeiro, RJ",-22.90247,-43.18143,250.0,,30000
centro,"Avenida Rio Branco, 26, Centro, Rio de Janeiro, RJ",-22.80496,-43.42287,135.0,,3600
centro,"Rua São José , 90, Centro, Rio de Janeiro, RJ",-22.8023,-43.3779,446.0,,13000
centro,"Avenida Rio Branco, 108, Centro, Rio de Janeiro, RJ",-22.80496,-43.42287,321.0,,7500
centro,"Rua Da Quitanda 20, 20, Centro, Rio de Janeiro, RJ",-22.90464,-43.17602,320.0,,5000
centro,"Rua Da Assembléia, 10, Centro, Rio de Janeiro, RJ",-22.90427,-43.17516,130.0,,5000
centro,"Rua Da Assembléia, 10, Centro, Rio de Janeiro, RJ",-22.90427,-43.17516,160.0,,3000
centro,"Rua Buenos Aires, 57, Centro, Rio de Janeiro, RJ",-22.90247,-43.17801,140.0,,3000
centro,"Rua Do Carmo, 71, Centro, Rio de Janeiro, RJ",-22.90294,-43.1765,680.0,,15500
centro,"Rua São José, 90, Centro, Rio de Janeiro, RJ",-22.8023,-43.3779,169.0,,4950
centro,"Rua São José, 90, Centro, Rio de Janeiro, RJ",-22.8023,-43.3779,111.0,,3250
centro,"Rua São José, 90, Centro, Rio de Janeiro, RJ",-22.8023,-43.3779,132.0,,3848
centro,"Da Quitanda 68, Centro, Rio de Janeiro, RJ",-22.90334,-43.1768,34.0,,600
centro,"Da Assembléia 93, Centro, Rio de Janeiro, RJ",-22.90565,-43.17699,31.0,,900
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,551.0,,17000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,575.0,,24000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,350.0,,7000
centro,"Avenida Rio Branco, Centro, Rio de Janeiro, RJ",-22.80496,-43.42287,55.0,,1200
centro,"Rua Afonso Cavalcanti, Cidade Nova, Rio de Janeiro, RJ",-22.90982,-43.20223,75.0,3.0,2000
centro,"Avenida Nossa Senhora De Fatima, Centro, Rio de Janeiro, RJ",-22.97535,-43.69896,35.0,,900
centro,"Rua Marquês Pombal, Centro, Rio de Janeiro, RJ",-22.9094,-43.19456,42.0,2.0,950
centro,"Rua Do Resende, Centro, Rio de Janeiro, RJ",-22.91322,-43.18609,90.0,2.0,2450
centro,"Rua Da Relação, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,35.0,1.0,1780
centro,"R. Do Senado, Centro, Rio de Janeiro, RJ",-22.91004,-43.18724,50.0,1.0,1208
centro,"Rua Tenente Possolo, 1, Centro, Rio de Janeiro, RJ",-22.91246,-43.19043,53.0,1.0,950
centro,"Rua Evaristo Da Veiga, Centro, Rio de Janeiro, RJ",-22.91073,-43.17762,35.0,1.0,680
centro,"Rua Carlos Sampaio, Centro, Rio de Janeiro, RJ",-22.91228,-43.18826,30.0,1.0,850
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,35.0,,1000
centro,"Rua Riachuelo, Centro, Rio de Janeiro, RJ",-22.91353,-43.18043,60.0,2.0,2500
centro,"Praça Olavo Bilac, Centro, Rio de Janeiro, RJ",-22.90332,-43.18004,35.0,,600
centro,"Santo Cristo, Rio de Janeiro, RJ",-22.90398,-43.20522,600.0,,35000
centro,"Rua  Lavradio, Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,527.0,,19500
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,36.0,1.0,1900
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,32.0,1.0,2250
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,217.0,,6000
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,32.0,1.0,1900
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,100.0,,2900
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,468.0,,6000
centro,"Avenida Gomes Freire, Centro, Rio de Janeiro, RJ",-22.91044,-43.184,32.0,1.0,2750
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,597.0,,23880
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,270.0,,13000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,340.0,,13000
