zona,area_quartos,enderecos_lista,aluguel
centro,30 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
centro,25 m² construídos1 quarto,"R. Carlos De Carvalho - Centro, Rio De Janeiro - Rj, 20230-180, Brasil, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
centro,19 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",848
centro,32 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.155
centro,25 m² construídos1 quarto,"Rua Do Rezende, Centro, Rio De Janeiro Centro, Rio De Janeiro",700
centro,27 m² construídos1 quarto,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
centro,24 m² construídos1 quarto,"Rua Álvaro Alvim, Centro, Rio De Janeiro Centro, Rio De Janeiro",700
centro,550 m² construídos5 quartos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.250
centro,32 m² construídos1 quarto,"Avenida Treze De Maio, Centro, Rio De Janeiro Centro, Rio De Janeiro",870
centro,400 m² construídos,"Rua Sete De Setembro 111, 111, Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
centro,28 m² construídos1 quarto,"Rua Lapa, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
centro,30 m² construídos1 quarto,"Rua Das Marrecas, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.250
centro,28 m² construídos1 quarto,"Rua Dos Inválidos, Centro, Rio De Janeiro Centro, Rio De Janeiro",880
centro,40 m² construídos1 quarto,"Rua Senhor De Matosinhos, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",1.070
centro,45 m² construídos1 quarto,"Avenida Gomes Freire, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.190
centro,34 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
centro,110 m² construídos3 quartos,"Avenida Mem De Sá, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.900
centro,30 m² construídos1 quarto,"Rua Acre, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.040
